freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength
,None_f10,../data/Target.mp3,273408,297984,0.00114437456553181,-801.0635,158.77098,-20.07875,21.307297,14.007774,-3.194992,-3.7686691,2.200241,6.2290993,-3.8956757,-17.13494,-3.544117,3.0045815,B,minor,0.8391832113265991
,None_f11,../data/Target.mp3,297984,323072,0.001441200016712656,-811.511,173.79544,-15.053368,24.056843,17.670769,-7.096737,-9.79978,-2.8517532,-0.16967392,-8.759132,-28.17044,-9.936028,-1.385395,B,minor,0.838897705078125
,None_f12,../data/Target.mp3,323072,347648,0.0011623675624529521,-808.34875,170.88908,-1.6411438,22.334839,3.4183388,-4.475075,-7.9222965,4.5021133,-1.3939857,8.123922,-19.593763,-4.8676033,-2.8263283,B,minor,0.8564621210098267
,None_f13,../data/Target.mp3,347648,372736,0.0007512300294272754,-844.8246,180.98666,-24.3423,32.539043,5.752838,9.37146,-3.6362457,15.520126,1.0441093,10.542746,-13.895359,-8.675354,3.5382462,B,minor,0.772014319896698
,None_f14,../data/Target.mp3,372736,397312,0.0010193076450377703,-844.21844,196.6523,-23.245815,31.23351,7.017189,-7.2337837,-6.871456,0.9148941,-6.3948097,-0.92155075,-11.683256,-5.9512787,3.8457031,B,minor,0.8339319825172424
,None_f15,../data/Target.mp3,397312,421888,0.0008519655869652828,-828.8327,183.52463,-26.096138,22.422195,-0.9739647,-6.513218,-10.44496,3.5949707,-4.367943,4.1459045,-8.962799,-13.275372,10.209034,B,minor,0.7182363867759705
,None_f16,../data/Target.mp3,421888,446464,0.001650259830057621,-780.1492,165.66655,0.55474854,9.40576,-3.1899261,-11.567696,-0.047412872,-5.18058,8.103691,-0.2978325,-15.01408,-15.833336,-1.3500137,B,minor,0.8444211483001709
,None_f17,../data/Target.mp3,446464,471040,0.0017437982993821304,-779.1126,170.37161,-11.542625,19.330517,4.8815346,-15.578999,2.4804497,5.802046,4.9773903,-3.5036926,-12.958643,-18.433575,-5.340557,B,minor,0.8450984358787537
,None_f18,../data/Target.mp3,471040,495616,0.0015703307775159676,-789.07043,168.2709,-15.213272,15.393093,7.003483,-15.766697,-1.1293831,-3.9459076,13.406525,-10.164345,-10.933561,-9.94931,3.6304398,B,minor,0.8215572237968445
,None_f19,../data/Target.mp3,495616,520704,0.0014359630188163445,-796.3705,166.4977,-18.584812,17.204811,7.7940216,-19.916271,-5.762844,-7.0158463,9.07177,-8.545559,-15.0778885,-13.730972,-4.341856,B,minor,0.812427818775177
